"OutputID","CalcUsing","DocID","StockID","Qty","SellingQty","ActualQty","Ratio","ContainerID","IsPrimaryOutput","Step","Status","ByProductOfID","ToolID","StockIDTrail","QtyPer"
"17342","Qty","16610","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17343","Qty","16611","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17344","Qty","16613","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17345","Qty","16615","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17346","Qty","16617","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17347","Qty","16618","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17348","Qty","16619","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17349","Qty","16620","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17350","Qty","16621","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17351","Qty","16622","3378","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17352","Qty","16623","3197","600.0","600.0","600.0","1.0","4","1","","","","","",""
"17353","Qty","16624","3626","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17354","Qty","16625","3626","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17355","Qty","16626","3626","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17356","Qty","16627","3028","40.0","40.0","40.0","1.0","4","1","","","","","",""
"17357","Qty","16628","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17358","Qty","16629","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17359","Qty","16630","3437","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17360","Qty","16631","3437","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17361","Qty","16632","3667","32.0","32.0","32.0","1.0","4","1","","","","","",""
"17362","Qty","16633","3667","32.0","32.0","32.0","1.0","4","1","","","","","",""
"17363","Qty","16634","3605","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17364","Qty","16635","3782","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17365","Qty","16447","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17366","Qty","16448","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17367","Qty","16449","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17368","Qty","16450","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17369","Qty","16451","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17370","Qty","16452","3663","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17371","Qty","16453","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17372","Qty","16454","3742","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17373","Qty","16455","3627","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17374","Qty","16456","3033","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17375","Qty","16457","3032","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17376","Qty","16465","3802","30.0","30.0","30.0","1.0","4","1","","","","","",""
"17377","Qty","16466","3156","50.0","50.0","50.0","1.0","4","1","","","","","",""
"17378","Qty","16467","3113","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17379","Qty","16477","3197","1300.0","1300.0","1300.0","1.0","4","1","","","","","",""
"17380","Qty","16478","3034","375.0","375.0","375.0","1.0","4","1","","","","","",""
"17381","Qty","16479","3032","125.0","125.0","125.0","1.0","4","1","","","","","",""
"17382","Qty","16480","3694","5.0","5.0","5.0","1.0","4","1","","","","","",""
"17383","Qty","16481","3197","71.25","71.25","71.25","1.0","4","1","","","","","",""
"17384","Qty","16574","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17385","Qty","16575","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17386","Qty","16576","3568","38.0","38.0","38.0","1.0","4","1","","","","","",""
"17387","Qty","16647","3197","400.0","400.0","400.0","1.0","4","1","","","","","",""
"17388","Qty","16699","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17389","Qty","16700","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17390","Qty","16701","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
"17391","Qty","16702","3664","37.0","37.0","37.0","1.0","4","1","","","","","",""
"17392","Qty","16703","3664","37.0","37.0","37.0","1.0","4","1","","","","","",""
"17393","Qty","16704","3568","38.0","38.0","38.0","1.0","4","1","","","","","",""
"17394","Qty","16705","3742","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17395","Qty","16706","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17396","Qty","16707","3741","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17397","Qty","16708","3740","20.0","20.0","20.0","1.0","4","1","","","","","",""
"17398","Qty","16709","3197","285.0","285.0","285.0","1.0","4","1","","","","","",""
"17399","Qty","16711","3561","100.0","100.0","100.0","1.0","4","1","","","","","",""
"17400","Qty","16712","3197","200.0","200.0","200.0","1.0","4","1","","","","","",""
"17401","Qty","16713","3197","125.0","125.0","125.0","1.0","4","1","","","","","",""
"17402","Qty","16714","3197","45.0","45.0","45.0","1.0","4","1","","","","","",""
"17403","Qty","16715","3197","93.75","93.75","93.75","1.0","4","1","","","","","",""
"17404","Qty","16716","3800","30.0","30.0","30.0","1.0","4","1","","","","","",""
"17405","Qty","16717","3147","30.0","30.0","30.0","1.0","4","1","","","","","",""
"17406","Qty","16719","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17407","Qty","16720","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17408","Qty","16721","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17409","Qty","16722","3047","25.0","25.0","25.0","1.0","4","1","","","","","",""
"17410","Qty","16723","3103","10.0","10.0","10.0","1.0","4","1","","","","","",""
